2030;12/09/2020;002;003;004;005;006;009;010;012;014;15;17;19;22;23;25;373.029.597,50;50;CANALELETRONICO\t--ANTONIOCARDOSO\tBASALVADOR\tBACACHOEIRODEITAPEMIRIM\tESSANTAHELENADEGOIAS\tGGOIANIA\tGOPERIMIRIM\tMAARCOS\tMGIBIRITE\tMGPITANGUI\tMGMARACAJU\tMSBELEM\tPAGRAVATA\tPERIODEJANEIRO\tRJNATAL\tRNBENTOGONCALVES\tRSCACHOEIRADOSUL\tRSCANOAS\tRSPORTOALEGRE\tRSCAPINZAL\tSCCHAPECO\tSCJARAGUADOSUL\tSCJOINVILLE\tSCARACAJU\tSEARACATUBA\tSPBOITUVA\tSPCOROADOS\tSPJANDIRA\tSPMONTEALTO\tSPPIRACICABA\tSP;8408;246828;2702658;13506290;2.499.998,20;942,83;25,00;10,00;5,00;0,00;1.500.000,00;0,00;
2029;04/09/2020;003;004;007;008;010;011;012;013;016;17;19;22;23;24;25;20.662.230,00;0;;492;13905;153986;791999;0,00;821,64;25,00;10,00;5,00;87.863.333,46;120.000.000,00;87.863.333,46;
2028;03/09/2020;001;002;003;004;005;006;008;009;015;16;18;19;20;23;25;0014;0015;15.229.770,00;1;ANANINDEUA\tPA;263;6163;92036;531776;1.245.054,98;1.418,03;25,00;10,00;5,00;0,00;1.500.000,00;84.091.934,47;
2027;02/09/2020;001;002;003;006;007;009;012;013;016;17;20;21;23;24;25;23.255.312,50;2;SAOMATEUSDOMARANHAO\tMAPRESIDENTEEPITACIO\tSP;408;13288;146003;782964;1.617.835,87;1.393,71;25,00;10,00;5,00;0,00;1.200.000,00;83.790.711,47;
2026;01/09/2020;001;003;004;005;006;011;013;014;016;19;20;21;22;23;24;15.533.937,50;0;;161;6396;92040;514465;0,00;1.741,63;25,00;10,00;5,00;1.337.300,21;3.400.000,00;83.331.428,02;
2025;31/08/2020;002;003;004;006;008;009;010;012;014;15;16;18;19;20;22;19.450.482,50;6;CONDEUBA\tBAHELIOPOLIS\tBAAPARECIDADEGOIANIA\tGOPORTEIRINHA\tMGMARICA\tRJARIQUEMES\tRO;667;15286;146620;675581;231.866,61;624,76;25,00;10,00;5,00;0,00;1.200.000,00;83.007.887,64;
2024;29/08/2020;001;002;003;004;005;006;008;009;011;14;17;18;21;23;24;12.710.120,00;1;SANTALUZIA\tMG;164;6473;81271;420334;1.056.196,30;1.350,37;25,00;10,00;5,00;0,00;1.500.000,00;82.671.307,07;
2023;28/08/2020;001;002;004;008;010;011;012;014;015;16;17;19;20;21;25;19.775.672,50;2;RECIFE\tPESAOPAULO\tSP;306;10496;118566;633076;859.171,14;1.682,06;25,00;10,00;5,00;0,00;1.200.000,00;82.415.775,70;
2022;27/08/2020;001;003;006;008;009;010;011;012;013;14;17;18;21;22;25;18.537.622,50;1;GUARANTADONORTE\tMT;266;8985;115215;627672;2.994.993,69;1.720,75;25,00;10,00;5,00;0,00;1.500.000,00;82.000.047,72;
2021;26/08/2020;001;002;003;004;006;007;008;010;012;15;18;19;22;23;24;18.366.292,50;0;;200;8693;115156;642584;0,00;1.537,89;25,00;10,00;5,00;1.466.912,53;3.000.000,00;81.630.350,65;
2020;25/08/2020;002;003;004;005;007;008;009;012;015;16;17;19;20;21;25;18.871.957,50;4;BRASILIA\tDFPOSSE\tGOTRESRIOS\tRJGUARATINGUETA\tSP;214;8974;117344;659053;932.809,46;1.483,19;25,00;10,00;5,00;0,00;1.500.000,00;81.275.452,44;
2019;24/08/2020;001;003;005;006;008;009;010;011;014;17;18;20;23;24;25;23.471.982,50;2;APARECIDADEGOIANIA\tGOCOTIA\tSP;460;15420;172242;883440;1.326.158,55;1.031,51;25,00;10,00;5,00;1.973.316,77;3.500.000,00;80.909.218,89;
2018;22/08/2020;001;002;003;004;005;008;011;012;013;14;17;18;20;21;22;12.289.920,00;0;;124;4979;69367;409638;0,00;1.806,31;25,00;10,00;5,00;1.068.223,87;2.900.000,00;80.525.970,52;
2017;21/08/2020;001;002;003;004;005;008;013;015;016;19;20;21;22;24;25;19.650.945,00;1;PORTOFIRME\tMG;270;8825;120994;681549;1.597.282,60;1.772,03;25,00;10,00;5,00;0,00;1.200.000,00;80.267.529,26;
